symbol,candidate_security,name,gics_sector_name,industry_sector,id_bb_global,candidate_returned
ENVA,__chosen__,ENVA US Equity,Financials,GICS_SECTOR_NAME,,True
EPRT,EPRT US Equity,ESSENTIAL PROPERTIES REALTY,Real Estate,Financial,BBG00L17LGJ7,True
EPRT,__chosen__,EPRT US Equity,Real Estate,GICS_SECTOR_NAME,,True
EVRI,EVRI US Equity,EVERI HOLDINGS INC,Consumer Discretionary,"Consumer, Cyclical",BBG000H1B407,True
EVRI,__chosen__,EVRI US Equity,Consumer Discretionary,GICS_SECTOR_NAME,,True
EYE,EYE US Equity,NATIONAL VISION HOLDINGS INC,Consumer Discretionary,"Consumer, Cyclical",BBG00HVQF9K2,True
EYE,__chosen__,EYE US Equity,Consumer Discretionary,GICS_SECTOR_NAME,,True
FIZZ,FIZZ US Equity,NATIONAL BEVERAGE CORP,Consumer Staples,"Consumer, Non-cyclical",BBG000BF8CB6,True
FIZZ,__chosen__,FIZZ US Equity,Consumer Staples,GICS_SECTOR_NAME,,True
FLXS,FLXS US Equity,FLEXSTEEL INDS,Consumer Discretionary,"Consumer, Cyclical",BBG000BJNBB3,True
FLXS,__chosen__,FLXS US Equity,Consumer Discretionary,GICS_SECTOR_NAME,,True
FONR,FONR US Equity,FONAR CORP,Health Care,"Consumer, Non-cyclical",BBG000BJQYS2,True
FONR,__chosen__,FONR US Equity,Health Care,GICS_SECTOR_NAME,,True
FSS,FSS US Equity,FEDERAL SIGNAL CORP,Industrials,Industrial,BBG000BJXWX2,True
FSS,__chosen__,FSS US Equity,Industrials,GICS_SECTOR_NAME,,True
FUN,FUN US Equity,SIX FLAGS ENTERTAINMENT CORP,Consumer Discretionary,"Consumer, Cyclical",BBG01K8GRMX6,True
FUN,__chosen__,FUN US Equity,Consumer Discretionary,GICS_SECTOR_NAME,,True
GIC,GIC US Equity,GLOBAL INDUSTRIAL CO,Industrials,"Consumer, Cyclical",BBG000KFPB56,True
GIC,__chosen__,GIC US Equity,Industrials,GICS_SECTOR_NAME,,True
GLDD,GLDD US Equity,GREAT LAKES DREDGE & DOCK CO,Industrials,Industrial,BBG000QT43H8,True
GLDD,__chosen__,GLDD US Equity,Industrials,GICS_SECTOR_NAME,,True
GMED,GMED US Equity,GLOBUS MEDICAL INC - A,Health Care,"Consumer, Non-cyclical",BBG002V87SD0,True
GMED,__chosen__,GMED US Equity,Health Care,GICS_SECTOR_NAME,,True
GMS,GMS US Equity,GMS INC,Industrials,"Consumer, Cyclical",BBG009Q036D0,True
GMS,__chosen__,GMS US Equity,Industrials,GICS_SECTOR_NAME,,True
GOGO,GOGO US Equity,GOGO INC,Communication Services,Communications,BBG002CN8XN5,True
GOGO,__chosen__,GOGO US Equity,Communication Services,GICS_SECTOR_NAME,,True
GOLF,GOLF US Equity,ACUSHNET HOLDINGS CORP,Consumer Discretionary,"Consumer, Cyclical",BBG00D5L3SS4,True
GOLF,__chosen__,GOLF US Equity,Consumer Discretionary,GICS_SECTOR_NAME,,True
GOOD,GOOD US Equity,GLADSTONE COMMERCIAL CORP,Real Estate,Financial,BBG000M2NYQ2,True
GOOD,__chosen__,GOOD US Equity,Real Estate,GICS_SECTOR_NAME,,True
GRBK,GRBK US Equity,GREEN BRICK PARTNERS INC,Consumer Discretionary,"Consumer, Cyclical",BBG000QGYG84,True
GRBK,__chosen__,GRBK US Equity,Consumer Discretionary,GICS_SECTOR_NAME,,True
